Star Wars: Episode VII - The Force Awakens	2488496	936627416
Avatar	0499549	760505847
Jurassic World	0369610	652177271
The Avengers	0848228	623279547
The Dark Knight	0468569	533316061
Rogue One	3748528	532171696
Star Wars: Episode I - The Phantom Menace	0120915	474544677
Star Wars: Episode IV - A New Hope	0076759	460935665
Avengers: Age of Ultron	2395427	458991599
The Dark Knight Rises	1345836	448130642
The Hunger Games: Catching Fire	1951264	424645577
Pirates of the Caribbean: Dead Man's Chest	0383574	423032628
Iron Man Three	1300854	408992272
Captain America: Civil War	3498820	408080554
Spider-Man	0145487	403706375
Transformers: Revenge of the Fallen	1055369	402076689
Star Wars: Episode III - Revenge of the Sith	0121766	380262555
Spider-Man 2	0316654	373377893
Guardians of the Galaxy Vol. 2	3896198	367193157
Deadpool	1431045	363024263
Transformers: Dark of the Moon	1399103	352358779
American Sniper	2179136	350123553
Furious 7	2820852	350034110
The Hunger Games: Mockingjay - Part 1	1951265	337103873
Spider-Man 3	0413300	336530303
Minions	2293640	336029560
Guardians of the Galaxy	2015381	333130696
Batman v Superman: Dawn of Justice	2975590	330249062
Suicide Squad	1386697	325021779
Transformers	0418279	318759914
Iron Man	0371746	318298180
Indiana Jones and the Kingdom of the Crystal Skull	0367882	317011114
Iron Man 2	1228705	312057433
Star Wars: Episode II - Attack of the Clones	0121765	310675583
Pirates of the Caribbean: At World's End	0449088	309404152
Star Wars: Episode VI - Return of the Jedi	0086190	309125409
Independence Day	0116629	306124059
Pirates of the Caribbean: The Curse of the Black Pearl	0325980	305388685
Skyfall	1074638	304360277
Inception	1375666	292568851
Man of Steel	0770828	291021565
Star Wars: Episode V - The Empire Strikes Back	0080684	290158751
The Hunger Games: Mockingjay - Part 2	1951266	281666058
The Matrix Reloaded	0234215	281492479
The Amazing Spider-Man	0948470	262030663
The Incredibles	0317705	261437578
Captain America: The Winter Soldier	1843866	259746958
The Lego Movie	1490017	257756197
Star Trek	0796366	257704099
Batman	0096895	251188924
Transformers: Age of Extinction	2109248	245428137
Raiders of the Lost Ark	0082971	242374454
Twister	0117998	241688385
Maleficent	1587310	241407328
Pirates of the Caribbean: On Stranger Tides	1298650	241063875
Furious 6	1905041	238673370
Beverly Hills Cop	0086960	234760500
X-Men: The Last Stand	0376994	234360014
