"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Star Wars: Episode VII - The Force Awakens"	2488496	936627416	245000000	3.822969044897959	"2015-12-18"
"Avatar"	"0499549"	760505847	237000000	3.208885430379747	"2009-12-18"
"Jurassic World"	"0369610"	652177271	150000000	4.347848473333333	"2015-06-12"
"The Avengers"	"0848228"	623279547	220000000	2.83308885	"2012-05-04"
"The Dark Knight"	"0468569"	533316061	185000000	2.8827895189189188	"2008-07-18"
"Rogue One"	3748528	532171696	200000000	2.66085848	"2016-12-16"
"Star Wars: Episode I - The Phantom Menace"	"0120915"	474544677	115000000	4.126475452173913	"1999-05-19"
"Star Wars: Episode IV - A New Hope"	"0076759"	460935665	11000000	41.903242272727276	"1977-05-25"
"Avengers: Age of Ultron"	2395427	458991599	250000000	1.835966396	"2015-05-01"
"The Dark Knight Rises"	1345836	448130642	250000000	1.792522568	"2012-07-20"
"The Hunger Games: Catching Fire"	1951264	424645577	130000000	3.2665044384615385	"2013-11-22"
"Pirates of the Caribbean: Dead Man's Chest"	"0383574"	423032628	225000000	1.8801450133333333	"2006-07-07"
"Iron Man Three"	1300854	408992272	200000000	2.04496136	"2013-05-03"
"Captain America: Civil War"	3498820	408080554	250000000	1.632322216	"2016-05-06"
"Spider-Man"	"0145487"	403706375	139000000	2.9043624100719425	"2002-05-03"
"Transformers: Revenge of the Fallen"	1055369	402076689	200000000	2.010383445	"2009-06-24"
"Star Wars: Episode III - Revenge of the Sith"	"0121766"	380262555	113000000	3.365155353982301	"2005-05-19"
"Spider-Man 2"	"0316654"	373377893	200000000	1.866889465	"2004-06-30"
"Guardians of the Galaxy Vol. 2"	3896198	367193157	200000000	1.835965785	"2017-05-05"
"Deadpool"	1431045	363024263	58000000	6.2590390172413795	"2016-02-12"
"Transformers: Dark of the Moon"	1399103	352358779	195000000	1.8069680974358975	"2011-06-29"
"American Sniper"	2179136	350123553	58800000	5.954482193877551	"2015-01-16"
"Furious 7"	2820852	350034110	190000000	1.8422847894736842	"2015-04-03"
"The Hunger Games: Mockingjay - Part 1"	1951265	337103873	125000000	2.696830984	"2014-11-21"
"Spider-Man 3"	"0413300"	336530303	258000000	1.3043810193798449	"2007-05-04"
"Minions"	2293640	336029560	74000000	4.54094	"2015-07-10"
"Guardians of the Galaxy"	2015381	333130696	170000000	1.9595923294117648	"2014-08-01"
"Batman v Superman: Dawn of Justice"	2975590	330249062	250000000	1.320996248	"2016-03-25"
"Suicide Squad"	1386697	325021779	175000000	1.8572673085714286	"2016-08-05"
"Transformers"	"0418279"	318759914	150000000	2.1250660933333334	"2007-07-03"
"Iron Man"	"0371746"	318298180	140000000	2.2735584285714285	"2008-05-02"
"Indiana Jones and the Kingdom of the Crystal Skull"	"0367882"	317011114	185000000	1.7135735891891892	"2008-05-22"
"Iron Man 2"	1228705	312057433	200000000	1.560287165	"2010-05-07"
"Star Wars: Episode II - Attack of the Clones"	"0121765"	310675583	115000000	2.701526808695652	"2002-05-16"
"Pirates of the Caribbean: At World's End"	"0449088"	309404152	300000000	1.0313471733333333	"2007-05-25"
"Star Wars: Episode VI - Return of the Jedi"	"0086190"	309125409	32500000	9.511551046153846	"1983-05-25"
"Independence Day"	"0116629"	306124059	75000000	4.08165412	"1996-07-03"
"Pirates of the Caribbean: The Curse of the Black Pearl"	"0325980"	305388685	140000000	2.18134775	"2003-07-09"
"Skyfall"	1074638	304360277	200000000	1.521801385	"2012-11-09"
"Inception"	1375666	292568851	160000000	1.82855531875	"2010-07-16"
"Man of Steel"	"0770828"	291021565	225000000	1.2934291777777778	"2013-06-14"
"Star Wars: Episode V - The Empire Strikes Back"	"0080684"	290158751	18000000	16.119930611111112	"1980-06-20"
"The Hunger Games: Mockingjay - Part 2"	1951266	281666058	160000000	1.7604128625	"2015-11-20"
"The Matrix Reloaded"	"0234215"	281492479	150000000	1.8766165266666666	"2003-05-15"
"The Amazing Spider-Man"	"0948470"	262030663	230000000	1.139263752173913	"2012-07-03"
"The Incredibles"	"0317705"	261437578	92000000	2.841712804347826	"2004-11-05"
"Captain America: The Winter Soldier"	1843866	259746958	170000000	1.5279232823529412	"2014-04-04"
"The Lego Movie"	1490017	257756197	60000000	4.295936616666666	"2014-02-07"
"Star Trek"	"0796366"	257704099	150000000	1.7180273266666666	"2009-05-08"
"Batman"	"0096895"	251188924	48000000	5.233102583333333	"1989-06-23"
"Transformers: Age of Extinction"	2109248	245428137	210000000	1.1687054142857143	"2014-06-27"
"Raiders of the Lost Ark"	"0082971"	242374454	18000000	13.465247444444444	"1981-06-12"
"Twister"	"0117998"	241688385	92000000	2.6270476630434785	"1996-05-10"
"Maleficent"	1587310	241407328	180000000	1.3411518222222223	"2014-05-30"
"Pirates of the Caribbean: On Stranger Tides"	1298650	241063875	378500000	0.6368926684280053	"2011-05-20"
"Furious 6"	1905041	238673370	160000000	1.4917085625	"2013-05-24"
"Beverly Hills Cop"	"0086960"	234760500	14000000	16.768607142857142	"1984-12-05"
"X-Men: The Last Stand"	"0376994"	234360014	210000000	1.1160000666666667	"2006-05-26"
"X-Men: Days of Future Past"	1877832	233914986	200000000	1.16957493	"2014-05-23"
"Doctor Strange"	1211837	232597113	165000000	1.4096794727272728	"2016-11-04"
"Ghostbusters"	"0087332"	229242989	30000000	7.641432966666667	"1984-06-08"
"The Lost World: Jurassic Park"	"0119567"	229074524	73000000	3.1380071780821917	"1997-05-23"
"Star Trek Into Darkness"	1408101	228756232	190000000	1.2039801684210527	"2013-05-16"
"Hancock"	"0448157"	227946274	150000000	1.5196418266666667	"2008-07-02"
"The Bourne Ultimatum"	"0440963"	227137090	110000000	2.0648826363636363	"2007-08-03"
"Logan"	3315342	226231072	97000000	2.332279092783505	"2017-03-03"
"Rush Hour 2"	"0266915"	226138454	90000000	2.512649488888889	"2001-08-03"
"The Fate of the Furious"	4630562	224507635	250000000	0.89803054	"2017-04-14"
"Big Hero 6"	2245084	222487711	165000000	1.3484103696969696	"2014-11-07"
"National Treasure: Book of Secrets"	"0465234"	219961501	130000000	1.692011546153846	"2007-12-21"
"King Kong"	"0360717"	218051260	207000000	1.053387729468599	"2005-12-14"
"How to Train Your Dragon"	"0892769"	217387997	165000000	1.3175030121212121	"2010-03-26"
"Mission: Impossible II"	"0120755"	215397307	125000000	1.723178456	"2000-05-24"
"Kung Fu Panda"	"0441773"	215395021	130000000	1.656884776923077	"2008-06-06"
"X2"	"0290334"	214948780	110000000	1.9540798181818182	"2003-05-02"
"Austin Powers in Goldmember"	"0295178"	213079163	63000000	3.3822089365079364	"2002-07-26"
"Wonder Woman"	"0451279"	212609246	149000000	1.4269076912751677	"2017-06-02"
300	"0416449"	210592590	65000000	3.239886	"2007-03-09"
"Fast Five"	1596343	209805005	125000000	1.67844004	"2011-04-29"
"Mission: Impossible - Ghost Protocol"	1229238	209364921	145000000	1.4438960068965516	"2011-12-21"
"Sherlock Holmes"	"0988045"	209019489	90000000	2.3224387666666666	"2009-12-25"
"Dawn of the Planet of the Apes"	2103281	208543795	170000000	1.226728205882353	"2014-07-11"
"Thor: The Dark World"	1981115	206360018	170000000	1.2138824588235295	"2013-11-08"
"Austin Powers: The Spy Who Shagged Me"	"0145660"	205399422	33000000	6.224224909090909	"1999-06-11"
"Batman Begins"	"0372784"	205343774	150000000	1.3689584933333334	"2005-06-15"
"Terminator 2: Judgment Day"	"0103064"	204843350	102000000	2.008268137254902	"1991-07-03"
"The Amazing Spider-Man 2"	1872181	202853933	200000000	1.014269665	"2014-05-02"
"World War Z"	"0816711"	202351611	190000000	1.0650084789473684	"2013-06-21"
"The Mummy Returns"	"0209163"	202007640	98000000	2.0613024489795917	"2001-05-04"
"Armageddon"	"0120591"	201573391	140000000	1.4398099357142857	"1998-07-01"
"Godzilla"	"0831387"	200661309	160000000	1.25413318125	"2014-05-16"
"Spectre"	2379713	200074175	245000000	0.8166292857142857	"2015-11-06"
"Superman Returns"	"0348150"	200069408	270000000	0.7409978074074074	"2006-06-28"
"Pearl Harbor"	"0213149"	198539855	140000000	1.4181418214285715	"2001-05-25"
"Monsters vs. Aliens"	"0892782"	198332128	175000000	1.1333264457142858	"2009-03-27"
"Indiana Jones and the Last Crusade"	"0097576"	197171806	48000000	4.107745958333333	"1989-05-24"
"Ice Age: Dawn of the Dinosaurs"	1080016	196573705	90000000	2.1841522777777778	"2009-07-01"
"Ice Age: The Meltdown"	"0438097"	195329763	80000000	2.4416220375	"2006-03-31"
"Mission: Impossible - Rogue Nation"	2381249	195000874	150000000	1.3000058266666668	"2015-07-31"
"22 Jump Street"	2294449	191616238	50000000	3.83232476	"2014-06-13"
"Teenage Mutant Ninja Turtles"	1291150	190871240	125000000	1.52696992	"2014-08-08"
"Men in Black II"	"0120912"	190418803	140000000	1.360134307142857	"2002-07-03"
"Gladiator"	"0172495"	187670866	103000000	1.8220472427184466	"2000-05-05"
"Sherlock Holmes: A Game of Shadows"	1515091	186830669	125000000	1.494645352	"2011-12-16"
"The Day After Tomorrow"	"0319262"	186739919	125000000	1.493919352	"2004-05-28"
"Mr. & Mrs. Smith"	"0356910"	186336103	120000000	1.5528008583333333	"2005-06-10"
"Batman Forever"	"0112462"	184031112	100000000	1.84031112	"1995-06-16"
"The Fugitive"	"0106977"	183875760	44000000	4.178994545454546	"1993-08-06"
"The Perfect Storm"	"0177971"	182618434	140000000	1.3044173857142858	"2000-06-30"
"Jurassic Park III"	"0163025"	181166115	93000000	1.9480227419354839	"2001-07-18"
"Thor"	"0800369"	181015141	150000000	1.2067676066666666	"2011-05-06"
"Mission: Impossible"	"0117060"	180965237	80000000	2.2620654625	"1996-05-22"
"Ant-Man"	"0478970"	180191634	130000000	1.3860894923076923	"2015-07-17"
"Planet of the Apes"	"0133152"	180011740	100000000	1.8001174	"2001-07-27"
"Madagascar: Escape 2 Africa"	"0479952"	179982968	150000000	1.1998864533333333	"2008-11-07"
"X-Men Origins: Wolverine"	"0458525"	179883016	150000000	1.1992201066666666	"2009-05-01"
"Indiana Jones and the Temple of Doom"	"0087469"	179870271	28000000	6.42393825	"1984-05-23"
"Men in Black 3"	1409024	179020854	225000000	0.79564824	"2012-05-25"
"How to Train Your Dragon 2"	1646971	176997107	145000000	1.2206697034482759	"2014-06-13"
"Top Gun"	"0092099"	176781728	15000000	11.785448533333334	"1986-05-16"
"Rise of the Planet of the Apes"	1318514	176740650	93000000	1.9004370967741935	"2011-08-05"
"Captain America: The First Avenger"	"0458339"	176636816	140000000	1.261691542857143	"2011-07-22"
"The Karate Kid"	1155076	176591618	40000000	4.41479045	"2010-06-11"
"The Bourne Supremacy"	"0372183"	176049130	75000000	2.347321733333333	"2004-07-23"
"The LEGO Batman Movie"	4116284	175686290	80000000	2.196078625	"2017-02-10"
"National Treasure"	"0368891"	173005002	100000000	1.73005002	"2004-11-19"
"Air Force One"	"0118571"	172620724	85000000	2.0308320470588237	"1997-07-25"
"Tron"	1104001	172051787	170000000	1.0120693352941177	"2010-12-17"
"The Matrix"	"0133093"	171383253	63000000	2.7203690952380954	"1999-03-31"
"Quantum of Solace"	"0830515"	168368427	200000000	0.841842135	"2008-11-14"
"Wild Hogs"	"0486946"	168213584	60000000	2.80355973333	"2007-03-02"
"Kong: Skull Island"	3731562	167986460	185000000	0.908034918918919	"2017-03-10"
"Casino Royale"	"0381061"	167007184	150000000	1.1133812266666667	"2006-11-17"
2012	1190080	166112167	200000000	0.830560835	"2009-11-13"
"Robin Hood: Prince of Thieves"	"0102798"	165500000	48000000	3.4479166666666665	"1991-06-14"
"Kung Fu Panda 2"	1302011	165230261	150000000	1.1015350733333333	"2011-05-26"
"Clash of the Titans"	"0800320"	163192114	125000000	1.305536912	"2010-04-02"
"Batman Returns"	"0103776"	162831698	80000000	2.035396225	"1992-06-19"
"Jason Bourne"	4196776	162162120	120000000	1.351351	"2016-07-29"
"Die Another Day"	"0246460"	160201106	142000000	1.1281768028169015	"2002-11-22"
"The Heat"	2404463	159578352	43000000	3.711124465116279	"2013-06-28"
"Star Trek Beyond"	2660888	158804470	185000000	0.8584025405405405	"2016-07-22"
"X-Men"	"0120903"	157299717	75000000	2.09732956	"2000-07-14"
"X-Men: Apocalypse"	3385516	155333829	178000000	0.8726619606741574	"2016-05-27"
"The Mummy"	"0120616"	155247825	80000000	1.9405978125	"1999-05-07"
"San Andreas"	2126355	155181732	110000000	1.4107430181818181	"2015-05-29"
"Snow White and the Huntsman"	1735898	155111815	170000000	0.9124224411764705	"2012-06-01"
"Fast & Furious"	1013752	155022220	85000000	1.8237908235294118	"2009-04-03"
"Fantastic Four"	"0120667"	154695569	100000000	1.54695569	"2005-07-08"
"Beverly Hills Cop II"	"0092644"	153665036	28000000	5.488037	"1987-05-20"
"Mad Max: Fury Road"	1392190	153629485	150000000	1.0241965666666666	"2015-05-15"
"Rambo: First Blood Part II"	"0089880"	150415432	44000000	3.4185325454545454	"1985-05-22"
"Terminator 3: Rise of the Machines"	"0181852"	150350192	200000000	0.75175096	"2003-07-02"
"G.I. Joe: The Rise of Cobra"	1046173	150167630	175000000	0.8581007428571429	"2009-08-07"
"Puss in Boots"	"0448694"	149234747	130000000	1.1479595923076924	"2011-10-28"
"Megamind"	1001526	148337537	130000000	1.1410579769230769	"2010-11-05"
"Talladega Nights: The Ballad of Ricky Bobby"	"0415306"	148213377	72500000	2.04432244137931	"2006-08-04"
"Lethal Weapon 2"	"0097733"	147253986	28000000	5.259070928571429	"1989-07-07"
"X: First Class"	1270798	146405371	160000000	0.91503356875	"2011-06-03"
"True Lies"	"0111503"	146282411	115000000	1.2720209652173913	"1994-07-15"
"Taken"	"0936501"	145000989	25000000	5.80003956	"2009-01-30"
"I, Robot"	"0343818"	144795350	120000000	1.2066279166666667	"2004-07-16"
"Lethal Weapon 3"	"0104714"	144731527	35000000	4.135186485714286	"1992-05-15"
"The Fast and the Furious"	"0232500"	144512310	38000000	3.8029555263157895	"2001-06-22"
"Kung Fu Panda 3"	2267968	143523463	145000000	0.9898169862068965	"2016-01-29"
"The Chronicles of Narnia: Prince Caspian"	"0499448"	141614023	225000000	0.6293956577777777	"2008-05-16"
"xXx"	"0295701"	141204016	70000000	2.0172002285714288	"2002-08-09"
"Rush Hour"	"0120812"	141153686	33000000	4.277384424242424	"1998-09-18"
"Deep Impact"	"0120647"	140459099	75000000	1.8727879866666666	"1998-05-08"
"Rush Hour 3"	"0293564"	140080850	140000000	1.0005775	"2007-08-10"
"Taken 2"	1397280	139852971	45000000	3.1078438	"2012-10-05"
"The Matrix Revolutions"	"0242653"	139259759	150000000	0.9283983933333333	"2003-11-05"
"21 Jump Street"	1232829	138447667	42000000	3.2963730238095237	"2012-03-16"
"Bad Boys II"	"0172156"	138396624	130000000	1.0645894153846154	"2003-07-18"
"Pirates of the Caribbean: Dead Men Tell No Tales"	1790809	137110551	230000000	0.5961328304347826	"2017-05-26"
"Godzilla"	"0120685"	136023813	130000000	1.0463370230769231	"1998-05-20"
