Star Wars: Episode VII - The Force Awakens	2488496	936627416
Avatar	0499549	760505847
Jurassic World	0369610	652177271
Rogue One	3748528	532171696
Finding Dory	2277860	486292984
Star Wars: Episode I - The Phantom Menace	0120915	474544677
Star Wars: Episode IV - A New Hope	0076759	460935665
Avengers: Age of Ultron	2395427	458991599
Shrek 2	0298148	436471036
The Hunger Games: Catching Fire	1951264	424645577
Pirates of the Caribbean: Dead Man's Chest	0383574	423032628
The Lion King	0110357	422783777
Toy Story 3	0435761	414984497
Iron Man Three	1300854	408992272
Captain America: Civil War	3498820	408080554
The Hunger Games	1392170	407999255
Spider-Man	0145487	403706375
Transformers: Revenge of the Fallen	1055369	402076689
Frozen	2294629	400736600
Harry Potter and the Deathly Hallows: Part 2	1201607	380955619
Finding Nemo	0266543	380838870
Star Wars: Episode III - Revenge of the Sith	0121766	380262555
The Lord of the Rings: The Return of the King	0167260	377019252
Spider-Man 2	0316654	373377893
The Secret Life of Pets	2709768	368305960
Despicable Me 2	1690953	368049635
Guardians of the Galaxy Vol. 2	3896198	367193157
The Jungle Book	3040964	363995937
Deadpool	1431045	363024263
Jurassic Park	0107290	356784000
Inside Out	2096673	356454367
Transformers: Dark of the Moon	1399103	352358779
Zootopia	2948356	341264012
The Lord of the Rings: The Two Towers	0167261	340478898
The Hunger Games: Mockingjay - Part 1	1951265	337103873
Spider-Man 3	0413300	336530303
Minions	2293640	336029560
Alice in Wonderland	1014759	334185206
Guardians of the Galaxy	2015381	333130696
Batman v Superman: Dawn of Justice	2975590	330249062
Suicide Squad	1386697	325021779
Shrek the Third	0413267	320706665
Transformers	0418279	318759914
Iron Man	0371746	318298180
Harry Potter and the Sorcerer's Stone	0241527	317557891
Indiana Jones and the Kingdom of the Crystal Skull	0367882	317011114
The Lord of the Rings: The Fellowship of the Ring	0120737	313837577
Iron Man 2	1228705	312057433
Star Wars: Episode II - Attack of the Clones	0121765	310675583
Pirates of the Caribbean: At World's End	0449088	309404152
Star Wars: Episode VI - Return of the Jedi	0086190	309125409
Independence Day	0116629	306124059
Pirates of the Caribbean: The Curse of the Black Pearl	0325980	305388685
Skyfall	1074638	304360277
The Hobbit: An Unexpected Journey	0903624	303001229
Harry Potter and the Half-Blood Prince	0417741	301956980
