Finding Dory	2277860	486292984
Shrek 2	0298148	436471036
The Lion King	0110357	422783777
Toy Story 3	0435761	414984497
Frozen	2294629	400736600
Finding Nemo	0266543	380838870
The Secret Life of Pets	2709768	368305960
Despicable Me 2	1690953	368049635
Inside Out	2096673	356454367
Zootopia	2948356	341264012
Minions	2293640	336029560
Shrek the Third	0413267	320706665
Up	1049413	292979556
Monsters, Inc.	0198781	289907418
Sing	3470600	270322340
Monsters University	1453405	268488329
Shrek	0126029	267652016
The Incredibles	0317705	261437578
The Lego Movie	1490017	257756197
Despicable Me	1323594	251501645
Moana	3521164	248752120
Toy Story 2	0120363	245823397
Cars	0317219	244052771
Shrek Forever After	0892791	238371987
Brave	1217209	237282182
WALL·E	0910970	223806889
Big Hero 6	2245084	222487711
Alvin and the Chipmunks: The Squeakquel	1231580	219613391
Beauty and the Beast	0101414	218967620
How to Train Your Dragon	0892769	217387997
Aladdin	0103639	217350219
Alvin and the Chipmunks	0952640	217326336
Madagascar 3: Europe's Most Wanted	1277953	216366733
Kung Fu Panda	0441773	215395021
The Lorax	1482459	213949505
Ratatouille	0382932	206435493
Tangled	0398286	200807262
Monsters vs. Aliens	0892782	198332128
Happy Feet	0366548	197992827
Ice Age: Dawn of the Dinosaurs	1080016	196573705
Ice Age: The Meltdown	0438097	195329763
Madagascar	0351283	193136719
Toy Story	0114709	191796233
Cars 2	1216475	191450875
Wreck-It Ralph	1772341	189412677
The Croods	0481499	187165546
Snow White and the Seven Dwarfs	0029583	184925485
The Simpsons Movie	0462538	183132370
Madagascar: Escape 2 Africa	0479952	179982968
Home	2224026	177343675
How to Train Your Dragon 2	1646971	176997107
Ice Age	0268380	176387405
The LEGO Batman Movie	4116284	175686290
The Boss Baby	3874544	171823971
Tarzan	0120855	171085177
Hotel Transylvania 2	2510894	169692572
Kung Fu Panda 2	1302011	165230261
A Bug's Life	0120623	162792677
The SpongeBob Movie: Sponge Out of Water	2279373	162495848
Ice Age: Continental Drift	1667889	161317423
Shark Tale	0307453	160762022
Over the Hedge	0327084	155019340
Horton Hears a Who!	0451079	154529187
Who Framed Roger Rabbit	0096438	154222492
Trolls	1679335	153694574
Scooby-Doo	0267913	153288182
101 Dalmatians	0055254	153000000
Puss in Boots	0448694	149234747
Megamind	1001526	148337537
Hotel Transylvania	0837562	148313048
Lilo & Stitch	0275847	145771527
Rio	1436562	143618384
Kung Fu Panda 3	2267968	143523463
The Smurfs	0472181	142614158
The Jungle Book	0061852	141843612
Pocahontas	0114148	141600000
A Christmas Carol	1067106	137850096
Dinosaur	0130623	137748063
Chicken Little	0371606	135381507
Alvin and the Chipmunks: Chipwrecked	1615918	133103929
Rio 2	2357291	131536019
The Peanuts Movie	2452042	130174897
Robots	0358082	128200012
Enchanted	0461770	127706877
Bee Movie	0389790	126597121
Cloudy with a Chance of Meatballs	0844471	124870275
Rango	1192628	123207194
The Good Dinosaur	1979388	123070338
Mulan	0120762	120618403
Cloudy with a Chance of Meatballs 2	1985966	119793567
G-Force	0436339	119420252
Bolt	0397892	114053579
Mr. Peabody & Sherman	0864835	111505642
The Little Mermaid	0097757	109859444
Hop	1411704	108012170
Epic	0848537	107515297
Angry Birds	1985949	107506776
Chicken Run	0120630	106793915
The Princess and the Frog	0780521	104374107
Rise of the Guardians	1446192	103400692
Bambi	0034492	102797150
The Prince of Egypt	0120794	101217900
The Rugrats Movie	0134067	100491683
Yogi Bear	1302067	100169068
The Hunchback of Notre Dame	0116583	100117603
Gnomeo & Juliet	0377981	99808609
Hercules	0119282	99046791
Meet the Robinsons	0396555	97821064
Sausage Party	1700841	97661826
Lady and the Tramp	0048280	93600000
Antz	0120587	90646554
Space Jam	0117705	90443603
Planes	1691917	90282580
The Emperor's New Groove	0120917	89296573
Peter Pan	0046183	87400000
Alvin and the Chipmunks: The Road Chip	2974918	85884815
Pokémon: The First Movie - Mewtwo Strikes Back	0190641	85744662
The SpongeBob SquarePants Movie	0345950	85416609
Brother Bear	0328880	85329248
Open Season	0400717	84303558
Pinocchio	0032910	84300000
Scooby-Doo 2: Monsters Unleashed	0331632	84185387
Atlantis: The Lost Empire	0230011	84037039
Penguins of Madagascar	1911658	83348920
Turbo	1860353	83024900
Beowulf	0442933	82161969
Jimmy Neutron: Boy Genius	0268397	80920948
The Adventures of Tintin	0983193	77564037
Rugrats in Paris: The Movie	0213203	76501438
Fantasia	0032455	76400000
Garfield	0356634	75367693
Coraline	0327597	75280058
The Nightmare Before Christmas	0107688	75082668
Monster House	0385880	73661010
Oliver & Company	0095776	73450885
Spirit: Stallion of the Cimarron	0166813	73215310
Storks	4624424	72655779
Barnyard	0414853	72601713
The Smurfs 2	2017020	71017784
Stuart Little 2	0243585	64736114
Flushed Away	0424095	64459316
The Nut Job	1821658	64238770
Ice Age: Collision Course	3416828	64060187
Happy Feet Two	1402488	63992328
Beavis and Butt-Head Do America	0115641	63071133
Fantasia 2000	0120910	60507228
Planes: Fire & Rescue	2980706	59157732
Surf's Up	0423294	58867694
Curious George	0381971	58336565
Anastasia	0118617	58297830
Escape from Planet Earth	0765446	57011847
The Curse of the Were-Rabbit	0312004	56068547
ParaNorman	1623288	55994557
Free Birds	1621039	55747724
Legend of the Guardians: The Owls of Ga'Hoole	1219342	55673333
TMNT	0453556	54132596
Corpse Bride	0121164	53337608
South Park: Bigger, Longer & Uncut	0158983	52008288
Sleeping Beauty	0053285	51600000
Hoodwinked!	0443536	51053787
The Tale of Despereaux	0420238	50818750
The Boxtrolls	0787474	50807639
The Road to El Dorado	0138749	50802661
The Book of Life	2262227	50150619
Home on the Range	0299172	50026353
Return to Never Land	0280030	48423368
The Land Before Time	0095489	48092846
Kubo and the Two Strings	4302938	48019281
The Jungle Book 2	0283426	47887943
An American Tail	0090633	47483002
Arthur Christmas	1430607	46440491
Captain Underpants: The First Epic Movie	2091256	45806364
The Tigger Movie	0220099	45542421
Smurfs: The Lost Village	2398241	44336614
Pokémon: The Movie 2000	0210234	43700000
Planet 51	0762125	42194060
The Wild Thornberrys Movie	0282120	39880476
Rugrats Go Wild	0337711	39399750
The Great Mouse Detective	0091149	38600000
Treasure Planet	0133240	38120554
The Wild	0405469	37371315
Recess: School's Out	0265632	36696761
Walking with Dinosaurs 3D	1762399	36073232
A Goofy Movie	0113198	35348597
Frankenweenie	1142977	35287788
Star Wars: The Clone Wars	1185834	35154336
Cinderella	0042332	34100000
See full summary	0401623	33557433
Final Fantasy: The Spirits Within	0173840	32131830
9	0472033	31743332
The Pirates! Band of Misfits	1430626	31051126
Space Chimps	0482603	30105968
See full summary	0111105	30000000
The Fox and the Hound	0082406	29800000
James and the Giant Peach	0116683	28934758
Garfield: A Tail of Two Kitties	0455499	28424210
The Ant Bully	0429589	28133159
The Rescuers Down Under	0100477	27931461
All Dogs Go to Heaven	0096787	27100027
Winnie the Pooh	1449283	26687172
Sinbad: Legend of the Seven Seas	0165982	26288320
The Adventures of Rocky & Bullwinkle	0131704	26000610
See full summary	0298388	25571351
Aliens in the Attic	0775552	25200412
