Finding Dory	2277860	486292984
Shrek 2	0298148	436471036
Toy Story 3	0435761	414984497
Frozen	2294629	400736600
Finding Nemo	0266543	380838870
The Secret Life of Pets	2709768	368305960
Despicable Me 2	1690953	368049635
Deadpool	1431045	363024263
Inside Out	2096673	356454367
Zootopia	2948356	341264012
Minions	2293640	336029560
Forrest Gump	0109830	329691196
Shrek the Third	0413267	320706665
Up	1049413	292979556
Monsters, Inc.	0198781	289907418
Home Alone	0099785	285761243
Meet the Fockers	0290002	279167575
The Hangover	1119646	277313371
Sing	3470600	270322340
Monsters University	1453405	268488329
Shrek	0126029	267652016
How the Grinch Stole Christmas	0170016	260031035
The Lego Movie	1490017	257756197
The Hangover Part II	1411697	254455986
Despicable Me	1323594	251501645
Night at the Museum	0477347	250863268
Men in Black	0119654	250147615
Moana	3521164	248752120
Toy Story 2	0120363	245823397
Cars	0317219	244052771
Bruce Almighty	0315327	242589580
My Big Fat Greek Wedding	0259446	241437427
Shrek Forever After	0892791	238371987
Brave	1217209	237282182
Beverly Hills Cop	0086960	234760500
Ghostbusters	0087332	229242989
Rush Hour 2	0266915	226138454
Big Hero 6	2245084	222487711
Alvin and the Chipmunks: The Squeakquel	1231580	219613391
Mrs. Doubtfire	0107614	219200000
Ted	1637725	218628680
How to Train Your Dragon	0892769	217387997
Aladdin	0103639	217350219
Alvin and the Chipmunks	0952640	217326336
Madagascar 3: Europe's Most Wanted	1277953	216366733
Kung Fu Panda	0441773	215395021
The Lorax	1482459	213949505
Austin Powers in Goldmember	0295178	213079163
Back to the Future	0088763	210609762
Wedding Crashers	0396269	209218368
Charlie and the Chocolate Factory	0367594	206456431
Ratatouille	0382932	206435493
Austin Powers: The Spy Who Shagged Me	0145660	205399422
Tangled	0398286	200807262
Monsters vs. Aliens	0892782	198332128
Happy Feet	0366548	197992827
Ice Age: Dawn of the Dinosaurs	1080016	196573705
Ice Age: The Meltdown	0438097	195329763
Madagascar	0351283	193136719
Toy Story	0114709	191796233
22 Jump Street	2294449	191616238
Cars 2	1216475	191450875
Teenage Mutant Ninja Turtles	1291150	190871240
Men in Black II	0120912	190418803
Wreck-It Ralph	1772341	189412677
The Croods	0481499	187165546
Mr. & Mrs. Smith	0356910	186336103
Pitch Perfect 2	2848292	183436380
The Simpsons Movie	0462538	183132370
What Women Want	0207201	182805123
Liar Liar	0119528	181395380
Ant-Man	0478970	180191634
Madagascar: Escape 2 Africa	0479952	179982968
Men in Black 3	1409024	179020854
Pretty Woman	0100405	178406268
Hitch	0386588	177575142
Home	2224026	177343675
Night at the Museum: Battle of the Smithsonian	1078912	177243721
Tootsie	0084805	177200000
How to Train Your Dragon 2	1646971	176997107
There's Something About Mary	0129387	176483808
Ice Age	0268380	176387405
The LEGO Batman Movie	4116284	175686290
Crocodile Dundee	0090555	174635000
Home Alone 2: Lost in New York	0104431	173585516
Elf	0319343	173381405
The Boss Baby	3874544	171823971
Chicago	0299658	170684505
Hotel Transylvania 2	2510894	169692572
Bridesmaids	1478338	169076745
Wild Hogs	0486946	168213584
3 Men and a Baby	0094137	167780960
Meet the Parents	0212338	166225040
Kung Fu Panda 2	1302011	165230261
The Proposal	1041829	163947053
Big Daddy	0142342	163479795
A Bug's Life	0120623	162792677
The SpongeBob Movie: Sponge Out of Water	2279373	162495848
Grown Ups	1375670	162001186
The Waterboy	0120484	161487252
Ice Age: Continental Drift	1667889	161317423
Shark Tale	0307453	160762022
The Sting	0070735	159600000
The Heat	2404463	159578352
The Longest Yard	0398165	158115031
Scary Movie	0175142	156997084
Over the Hedge	0327084	155019340
Horton Hears a Who!	0451079	154529187
Who Framed Roger Rabbit	0096438	154222492
Trolls	1679335	153694574
Beverly Hills Cop II	0092644	153665036
Jerry Maguire	0116695	153620822
Scooby-Doo	0267913	153288182
101 Dalmatians	0055254	153000000
Sex and the City	1000774	152637269
Runaway Bride	0163187	152149590
La La Land	3783958	151058124
We're the Millers	1723121	150368971
Daddy's Home	1528854	150315155
Neighbors	2004420	150056505
Puss in Boots	0448694	149234747
Knocked Up	0478311	148734225
Little Fockers	0970866	148383780
Megamind	1001526	148337537
Hotel Transylvania	0837562	148313048
Talladega Nights: The Ballad of Ricky Bobby	0415306	148213377
Gremlins	0087363	148170000
As Good as It Gets	0119822	147637474
True Lies	0111503	146282411
Lilo & Stitch	0275847	145771527
American Pie	0163651	145096820
The Santa Clause	0111070	144833357
Doctor Dolittle	0118998	144156464
Mamma Mia!	0795421	143704210
Rio	1436562	143618384
Kung Fu Panda 3	2267968	143523463
Juno	0467406	143492840
Marley & Me	0822832	143151473
The Smurfs	0472181	142614158
Animal House	0077975	141600000
Rush Hour	0120812	141153686
Look Who's Talking	0097778	140088813
Rush Hour 3	0293564	140080850
Stuart Little	0164912	140015224
The Rocky Horror Picture Show	0073629	139876417
Sister Act	0105417	139610000
The Santa Clause 2	0304669	139225854
Cheaper by the Dozen	0349205	138614544
21 Jump Street	1232829	138447667
Bad Boys II	0172156	138396624
Click	0389860	137340146
101 Dalmatians	0115433	136182161
Chicken Little	0371606	135381507
Teenage Mutant Ninja Turtles	0100758	135270000
Patch Adams	0129290	135014968
Identity Thief	2024432	134455175
Ride Along	1408253	134141530
Anger Management	0305224	133756285
Grown Ups 2	2191701	133668525
Alvin and the Chipmunks: Chipwrecked	1615918	133103929
Bringing Down the House	0305669	132541238
Silver Linings Playbook	1045658	132088910
Rio 2	2357291	131536019
Honey, I Shrunk the Kids	0097523	130724200
The Flintstones	0109813	130512915
Get Smart	0425061	130313314
The Peanuts Movie	2452042	130174897
The Nutty Professor	0117218	128769345
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	0443453	128505958
Ghostbusters	1289401	128344089
Kingsman: The Secret Service	2802144	128248205
Robots	0358082	128200012
Coming to America	0094898	128152301
Into the Woods	2180411	127997349
Enchanted	0461770	127706877
Central Intelligence	1489889	127380061
Sweet Home Alabama	0256415	127214072
Dumb and Dumber	0109686	127175354
My Best Friend's Wedding	0119738	126805112
Smokey and the Bandit	0076729	126737428
Sleepless in Seattle	0108160	126670704
Bee Movie	0389790	126597121
Mr. Deeds	0280590	126203320
The Truman Show	0120382	125603360
Charlie's Angels	0160127	125305545
Cloudy with a Chance of Meatballs	0844471	124870275
The Devil Wears Prada	0458352	124732962
Something's Gotta Give	0337741	124590960
City Slickers	0101587	124033791
The Birdcage	0115685	123986682
Good Morning, Vietnam	0093105	123922370
Nutty Professor II: The Klumps	0144528	123307945
Rango	1192628	123207194
The Good Dinosaur	1979388	123070338
Wayne's World	0105793	121697350
Superbad	0829482	121463226
50 First Dates	0343660	120776832
Four Christmases	0369436	120136047
The Mask	0110475	119938730
Cloudy with a Chance of Meatballs 2	1985966	119793567
I Now Pronounce You Chuck & Larry	0762107	119684970
Hook	0102057	119654900
Blazing Saddles	0071230	119500000
G-Force	0436339	119420252
The Other Guys	1386588	119219978
Hairspray	0427327	118823091
The Break-Up	0452594	118683135
A Series of Unfortunate Events	0339291	118627117
Back to the Future Part II	0096874	118500000
