Titanic	0120338	658672302
The Dark Knight	0468569	533316061
Beauty and the Beast	0038348	498767973
The Lion King	0110357	422783777
Harry Potter and the Deathly Hallows: Part 2	1201607	380955619
The Lord of the Rings: The Return of the King	0167260	377019252
The Passion of the Christ	0335345	370782930
The Jungle Book	3040964	363995937
Inside Out	2096673	356454367
American Sniper	2179136	350123553
The Lord of the Rings: The Two Towers	0167261	340478898
Forrest Gump	0109830	329691196
The Lord of the Rings: The Fellowship of the Ring	0120737	313837577
The Twilight Saga: Eclipse	1325004	300523113
The Twilight Saga: New Moon	1259571	296623634
The Sixth Sense	0167404	293501675
The Twilight Saga: Breaking Dawn - Part 2	1673434	292298923
The Twilight Saga: Breaking Dawn - Part 1	1324999	281275991
Gravity	1454468	274084951
Jaws	0073195	260000000
I Am Legend	0480249	256386216
The Blind Side	0878804	255950375
Bruce Almighty	0315327	242589580
Twister	0117998	241688385
My Big Fat Greek Wedding	0259446	241437427
Cast Away	0162222	233630478
The Martian	3659388	228430993
Signs	0286106	227965690
Hancock	0448157	227946274
Logan	3315342	226231072
Big Hero 6	2245084	222487711
Mrs. Doubtfire	0107614	219200000
King Kong	0360717	218051260
Ghost	0099653	217631306
Saving Private Ryan	0120815	216119491
Dawn of the Planet of the Apes	2103281	208543795
Cinderella	1661199	201148159
Gone with the Wind	0031381	198655278
Pearl Harbor	0213149	198539855
Twilight	1099212	191449475
Interstellar	0816692	187991439
Gladiator	0172495	187670866
Dances with Wolves	0099348	184208848
The Fugitive	0106977	183875760
The Revenant	1663202	183635922
The Perfect Storm	0177971	182618434
Lincoln	0443272	182204440
Tootsie	0084805	177200000
Top Gun	0092099	176781728
Rise of the Planet of the Apes	1318514	176740650
The Karate Kid	1155076	176591618
Rain Man	0095953	172825435
Air Force One	0118571	172620724
Apollo 13	0112384	172071312
True Grit	1403865	171031347
A Beautiful Mind	0268978	170708996
The Help	1454029	169705587
Hidden Figures	4846340	169338623
3 Men and a Baby	0094137	167780960
Gone Girl	2267998	167735396
Fifty Shades of Grey	2322441	166147885
