"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Titanic"	"0120338"	658672302	200000000	3.29336151	"1997-12-19"
"The Dark Knight"	"0468569"	533316061	185000000	2.8827895189189188	"2008-07-18"
"Beauty and the Beast"	"0038348"	498767973	0	0	"1947-12-23"
"The Lion King"	"0110357"	422783777	45000000	9.395195044444444	"1994-06-24"
"Harry Potter and the Deathly Hallows: Part 2"	1201607	380955619	125000000	3.047644952	"2011-07-15"
"The Lord of the Rings: The Return of the King"	"0167260"	377019252	94000000	4.010843106382978	"2003-12-17"
"The Passion of the Christ"	"0335345"	370782930	30000000	12.359431	"2004-02-25"
"The Jungle Book"	3040964	363995937	175000000	2.079976782857143	"2016-04-15"
"Inside Out"	2096673	356454367	175000000	2.036882097142857	"2015-06-19"
"American Sniper"	2179136	350123553	58800000	5.954482193877551	"2015-01-16"
"The Lord of the Rings: The Two Towers"	"0167261"	340478898	94000000	3.622115936170213	"2002-12-18"
"Forrest Gump"	"0109830"	329691196	55000000	5.994385381818182	"1994-07-06"
"The Lord of the Rings: The Fellowship of the Ring"	"0120737"	313837577	93000000	3.3745976021505375	"2001-12-19"
"The Twilight Saga: Eclipse"	1325004	300523113	68000000	4.419457544117647	"2010-06-30"
"The Twilight Saga: New Moon"	1259571	296623634	50000000	5.93247268	"2009-11-20"
"The Sixth Sense"	"0167404"	293501675	40000000	7.337541875	"1999-08-06"
"The Twilight Saga: Breaking Dawn - Part 2"	1673434	292298923	120000000	2.4358243583333334	"2012-11-16"
"The Twilight Saga: Breaking Dawn - Part 1"	1324999	281275991	110000000	2.5570544636363635	"2011-11-18"
"Gravity"	1454468	274084951	100000000	2.74084951	"2013-10-04"
"Jaws"	"0073195"	260000000	8000000	32.5	"1975-06-20"
"I Am Legend"	"0480249"	256386216	150000000	1.70924144	"2007-12-14"
"The Blind Side"	"0878804"	255950375	29000000	8.825875	"2009-11-20"
"Bruce Almighty"	"0315327"	242589580	81000000	2.994933086419753	"2003-05-23"
"Twister"	"0117998"	241688385	92000000	2.6270476630434785	"1996-05-10"
"My Big Fat Greek Wedding"	"0259446"	241437427	5000000	48.2874854	"2002-08-02"
"Cast Away"	"0162222"	233630478	90000000	2.5958942	"2000-12-22"
"The Martian"	3659388	228430993	108000000	2.115101787037037	"2015-10-02"
"Signs"	"0286106"	227965690	72000000	3.1661901388888887	"2002-08-02"
"Hancock"	"0448157"	227946274	150000000	1.5196418266666667	"2008-07-02"
"Logan"	3315342	226231072	97000000	2.332279092783505	"2017-03-03"
"Big Hero 6"	2245084	222487711	165000000	1.3484103696969696	"2014-11-07"
"Mrs. Doubtfire"	"0107614"	219200000	25000000	8.768	"1993-11-24"
"King Kong"	"0360717"	218051260	207000000	1.053387729468599	"2005-12-14"
"Ghost"	"0099653"	217631306	22000000	9.892332090909091	"1990-07-13"
"Saving Private Ryan"	"0120815"	216119491	70000000	3.0874213	"1998-07-24"
"Dawn of the Planet of the Apes"	2103281	208543795	170000000	1.226728205882353	"2014-07-11"
"Cinderella"	1661199	201148159	95000000	2.117349042105263	"2015-03-13"
"Gone with the Wind"	"0031381"	198655278	3977000	49.95103796831783	"1940-01-17"
"Pearl Harbor"	"0213149"	198539855	140000000	1.4181418214285715	"2001-05-25"
"Twilight"	1099212	191449475	37000000	5.174310135135135	"2008-11-21"
"Interstellar"	"0816692"	187991439	165000000	1.1393420545454545	"2014-11-07"
"Gladiator"	"0172495"	187670866	103000000	1.8220472427184466	"2000-05-05"
"Dances with Wolves"	"0099348"	184208848	22000000	8.373129454545454	"1990-11-21"
"The Fugitive"	"0106977"	183875760	44000000	4.178994545454546	"1993-08-06"
"The Revenant"	1663202	183635922	135000000	1.360266088888889	"2016-01-08"
"The Perfect Storm"	"0177971"	182618434	140000000	1.3044173857142858	"2000-06-30"
"Lincoln"	"0443272"	182204440	65000000	2.8031452307692306	"2012-11-16"
"Tootsie"	"0084805"	177200000	22000000	8.054545454545455	"1982-12-17"
"Top Gun"	"0092099"	176781728	15000000	11.785448533333334	"1986-05-16"
"Rise of the Planet of the Apes"	1318514	176740650	93000000	1.9004370967741935	"2011-08-05"
"The Karate Kid"	1155076	176591618	40000000	4.41479045	"2010-06-11"
"Rain Man"	"0095953"	172825435	25000000	6.9130174	"1988-12-16"
"Air Force One"	"0118571"	172620724	85000000	2.0308320470588237	"1997-07-25"
"Apollo 13"	"0112384"	172071312	52000000	3.309063692307692	"1995-06-30"
"True Grit"	1403865	171031347	38000000	4.500824921052631	"2010-12-22"
"A Beautiful Mind"	"0268978"	170708996	58000000	2.943258551724138	"2002-01-04"
"The Help"	1454029	169705587	25000000	6.78822348	"2011-08-10"
"Hidden Figures"	4846340	169338623	25000000	6.77354492	"2017-01-06"
"3 Men and a Baby"	"0094137"	167780960	11000000	15.252814545454546	"1987-11-25"
"Gone Girl"	2267998	167735396	61000000	2.7497605901639344	"2014-10-03"
"Fifty Shades of Grey"	2322441	166147885	40000000	4.153697125	"2015-02-13"
"Robin Hood: Prince of Thieves"	"0102798"	165500000	48000000	3.4479166666666665	"1991-06-14"
"Hannibal"	"0212985"	165091464	87000000	1.8976030344827586	"2001-02-09"
"Catch Me If You Can"	"0264464"	164435221	52000000	3.1622157884615385	"2002-12-25"
"The Proposal"	1041829	163947053	40000000	4.098676325	"2009-06-19"
"Big Daddy"	"0142342"	163479795	34200000	4.78011096491228	"1999-06-25"
"The Sound of Music"	"0059742"	163214286	8200000	19.904181219512196	"1965-03-29"
"Django Unchained"	1853728	162804648	100000000	1.62804648	"2012-12-25"
"The Pursuit of Happyness"	"0454921"	162586036	55000000	2.9561097454545453	"2006-12-15"
"Straight Outta Compton"	1398426	161029270	28000000	5.751045357142857	"2015-08-14"
"The Sting"	"0070735"	159600000	5500000	29.01818181818182	"1973-12-25"
"The Firm"	"0106918"	158348400	42000000	3.7702	"1993-06-30"
"Fatal Attraction"	"0093010"	156645693	14000000	11.188978071428572	"1987-09-18"
"What Lies Beneath"	"0161081"	155370362	100000000	1.55370362	"2000-07-21"
"San Andreas"	2126355	155181732	110000000	1.4107430181818181	"2015-05-29"
"Snow White and the Huntsman"	1735898	155111815	170000000	0.9124224411764705	"2012-06-01"
"Jerry Maguire"	"0116695"	153620822	50000000	3.07241644	"1996-12-13"
"Sex and the City"	1000774	152637269	65000000	2.3482656769230768	"2008-05-30"
"La La Land"	3783958	151058124	30000000	5.0352708	"2016-12-25"
"American Hustle"	1800241	150117807	40000000	3.752945175	"2013-12-20"
"Les Misérables"	1707386	148775460	61000000	2.4389419672131147	"2012-12-25"
"Gran Torino"	1205489	148085755	33000000	4.487447121212122	"2009-01-09"
"As Good as It Gets"	"0119822"	147637474	50000000	2.95274948	"1997-12-25"
"Lilo & Stitch"	"0275847"	145771527	80000000	1.8221440875	"2002-06-21"
"The Santa Clause"	"0111070"	144833357	22000000	6.583334409090909	"1994-11-11"
"The Great Gatsby"	1343092	144812796	105000000	1.3791694857142858	"2013-05-10"
"I, Robot"	"0343818"	144795350	120000000	1.2066279166666667	"2004-07-16"
"Juno"	"0467406"	143492840	7500000	19.132378666666668	"2007-12-25"
"Marley & Me"	"0822832"	143151473	60000000	2.3858578833333333	"2008-12-25"
"Pocahontas"	"0114148"	141600000	55000000	2.5745454545454547	"1995-06-23"
"A Few Good Men"	"0104257"	141340178	40000000	3.53350445	"1992-12-11"
"Slumdog Millionaire"	1010048	141319195	15000000	9.421279666666667	"2008-12-25"
"Deep Impact"	"0120647"	140459099	75000000	1.8727879866666666	"1998-05-08"
"The King's Speech"	1504320	138795342	15000000	9.2530228	"2010-12-25"
