I Am Legend	0480249	256386216
The Exorcist	0070047	204565000
World War Z	0816711	202351611
Get Out	5052448	175428355
What Lies Beneath	0161081	155370362
Gremlins	0087363	148170000
The Blair Witch Project	0185937	140530114
Split	4972582	138120085
The Conjuring	1457767	137387272
The Ring	0298130	128579698
The Grudge	0391198	110175871
Paranormal Activity	1179904	107917283
Interview with the Vampire: The Vampire Chronicles	0110148	105264608
Paranormal Activity 3	1778304	104007828
Scream	0117571	103001286
Jaws 2	0077766	102922376
The Conjuring 2	3065204	102461593
The Mummy: Tomb of the Dragon Emperor	0859163	102176165
Scream 2	0120082	101334374
Sleepy Hollow	0162661	101068340
The Others	0230600	96471845
The Haunting	0171363	91188905
Don't Breathe	4160708	89210468
Scream 3	0134084	89138076
Saw II	0432348	87025093
The Amityville Horror	0078767	86432520
Paranormal Activity 2	1536044	84749884
Annabelle	3322940	84263837
Insidious: Chapter 2	2226417	83574831
Dracula	0103874	82522790
Freddy vs. Jason	0329101	82163317
Blade II	0187738	81645152
AVP: Alien vs. Predator	0370263	80281096
Saw III	0489270	80150343
The Texas Chainsaw Massacre	0324216	80148261
Cloverfield	1060277	80034302
Goosebumps	1051904	80021740
Dark Shadows	1077368	79711678
The Purge: Election Year	4094724	79003080
Alien	0078748	78900000
Poltergeist	0084516	76600000
The Ring Two	0377109	75888270
The Haunted Mansion	0338094	75817994
Hellboy II: The Golden Army	0411477	75754670
Zombieland	1156398	75590286
Constantine	0360486	75500759
The Exorcism of Emily Rose	0404032	75072454
Hollow Man	0164052	73209340
Boo! A Madea Halloween	5325452	73159525
I Know What You Did Last Summer	0119345	72219395
1408	0450385	71975611
10 Cloverfield Lane	1179933	71897215
Mama	2023587	71588220
The Purge: Anarchy	2975578	71519230
Alien: Covenant	2316204	71464383
Blade	0120611	70001065
Lights Out	4786282	67235683
End of Days	0146675	66862068
The Forgotten	0356618	66641205
The Final Destination	1144884	66466372
Warm Bodies	1588173	66359959
Anaconda	0118615	65557989
The Visit	3567288	65069140
Wolf	0111742	65012000
Friday the 13th	0758746	64997188
The Purge	2184339	64423650
The Amityville Horror	0384806	64255243
The Witches of Eastwick	0094332	63766510
Saw IV	0890870	63270259
A Nightmare on Elm Street	1179056	63059655
Underworld Awakening	1496025	62321039
The Wolfman	0780653	61937495
Flatliners	0099582	61490000
The Cell	0209958	61280963
Resident Evil: Afterlife	1220634	60128566
Species	0114508	60054449
Gothika	0348836	59588068
Hellboy	0167190	59035104
Dawn of the Dead	0363547	58885635
Death Becomes Her	0104070	58422650
Halloween	0373883	58267261
Pet Sematary	0098084	57469179
Saw V	1132626	56729973
Dracula Untold	0829150	55942830
White Noise	0375210	55865715
Hansel & Gretel: Witch Hunters	1428538	55682070
Alien³	0103644	55473600
