"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"I Am Legend"	"0480249"	256386216	150000000	1.70924144	"2007-12-14"
"The Exorcist"	"0070047"	204565000	12000000	17.047083333333333	"1973-12-26"
"World War Z"	"0816711"	202351611	190000000	1.0650084789473684	"2013-06-21"
"Get Out"	5052448	175428355	5000000	35.085671	"2017-02-24"
"What Lies Beneath"	"0161081"	155370362	100000000	1.55370362	"2000-07-21"
"Gremlins"	"0087363"	148170000	11000000	13.47	"1984-06-08"
"The Blair Witch Project"	"0185937"	140530114	60000	2342.1685666666667	"1999-07-30"
"Split"	4972582	138120085	9000000	15.346676111111112	"2017-01-20"
"The Conjuring"	1457767	137387272	20000000	6.8693636	"2013-07-19"
"The Ring"	"0298130"	128579698	48000000	2.678743708333333	"2002-10-18"
"The Grudge"	"0391198"	110175871	10000000	11.0175871	"2004-10-22"
"Paranormal Activity"	1179904	107917283	15000	7194.4855333333335	"2009-10-16"
"Interview with the Vampire: The Vampire Chronicles"	"0110148"	105264608	60000000	1.7544101333333333	"1994-11-11"
"Paranormal Activity 3"	1778304	104007828	5000000	20.8015656	"2011-10-21"
"Scream"	"0117571"	103001286	14000000	7.357234714285714	"1996-12-20"
"Jaws 2"	"0077766"	102922376	20000000	5.1461188	"1978-06-16"
"The Conjuring 2"	3065204	102461593	40000000	2.561539825	"2016-06-10"
"The Mummy: Tomb of the Dragon Emperor"	"0859163"	102176165	145000000	0.7046632068965517	"2008-08-01"
"Scream 2"	"0120082"	101334374	24000000	4.222265583333333	"1997-12-12"
"Sleepy Hollow"	"0162661"	101068340	100000000	1.0106834	"1999-11-19"
"The Others"	"0230600"	96471845	17000000	5.6748144117647055	"2001-08-10"
"The Haunting"	"0171363"	91188905	80000000	1.1398613125	"1999-07-23"
"Don't Breathe"	4160708	89210468	9900000	9.011158383838383	"2016-08-26"
"Scream 3"	"0134084"	89138076	40000000	2.2284519	"2000-02-04"
"Saw II"	"0432348"	87025093	4000000	21.75627325	"2005-10-28"
"The Amityville Horror"	"0078767"	86432520	4700000	18.389897872340427	"1979-07-27"
"Paranormal Activity 2"	1536044	84749884	3000000	28.249961333333335	"2010-10-22"
"Annabelle"	3322940	84263837	6500000	12.96366723076923	"2014-10-03"
"Insidious: Chapter 2"	2226417	83574831	5000000	16.7149662	"2013-09-13"
"Dracula"	"0103874"	82522790	40000000	2.06306975	"1992-11-13"
"Freddy vs. Jason"	"0329101"	82163317	30000000	2.7387772333333333	"2003-08-15"
"Blade II"	"0187738"	81645152	54000000	1.5119472592592593	"2002-03-22"
"AVP: Alien vs. Predator"	"0370263"	80281096	60000000	1.3380182666666667	"2004-08-13"
"Saw III"	"0489270"	80150343	10000000	8.0150343	"2006-10-27"
"The Texas Chainsaw Massacre"	"0324216"	80148261	9200000	8.7117675	"2003-10-17"
"Cloverfield"	1060277	80034302	25000000	3.20137208	"2008-01-18"
"Goosebumps"	1051904	80021740	58000000	1.379685172413793	"2015-10-16"
