Star Wars: Episode VII - The Force Awakens	2488496	936627416
Avatar	0499549	760505847
Jurassic World	0369610	652177271
The Avengers	0848228	623279547
Rogue One	3748528	532171696
Star Wars: Episode I - The Phantom Menace	0120915	474544677
Star Wars: Episode IV - A New Hope	0076759	460935665
Avengers: Age of Ultron	2395427	458991599
E.T. the Extra-Terrestrial	0083866	434949459
The Hunger Games: Catching Fire	1951264	424645577
Iron Man Three	1300854	408992272
Captain America: Civil War	3498820	408080554
The Hunger Games	1392170	407999255
Transformers: Revenge of the Fallen	1055369	402076689
Star Wars: Episode III - Revenge of the Sith	0121766	380262555
Despicable Me 2	1690953	368049635
Guardians of the Galaxy Vol. 2	3896198	367193157
Deadpool	1431045	363024263
Jurassic Park	0107290	356784000
Transformers: Dark of the Moon	1399103	352358779
The Hunger Games: Mockingjay - Part 1	1951265	337103873
Guardians of the Galaxy	2015381	333130696
Batman v Superman: Dawn of Justice	2975590	330249062
Suicide Squad	1386697	325021779
Transformers	0418279	318759914
Iron Man	0371746	318298180
Iron Man 2	1228705	312057433
Star Wars: Episode II - Attack of the Clones	0121765	310675583
Star Wars: Episode VI - Return of the Jedi	0086190	309125409
Independence Day	0116629	306124059
Inception	1375666	292568851
Man of Steel	0770828	291021565
Star Wars: Episode V - The Empire Strikes Back	0080684	290158751
The Hunger Games: Mockingjay - Part 2	1951266	281666058
The Matrix Reloaded	0234215	281492479
Gravity	1454468	274084951
Captain America: The Winter Soldier	1843866	259746958
Star Trek	0796366	257704099
I Am Legend	0480249	256386216
Men in Black	0119654	250147615
Transformers: Age of Extinction	2109248	245428137
X-Men: The Last Stand	0376994	234360014
War of the Worlds	0407304	234277056
X-Men: Days of Future Past	1877832	233914986
Doctor Strange	1211837	232597113
The Lost World: Jurassic Park	0119567	229074524
Star Trek Into Darkness	1408101	228756232
The Martian	3659388	228430993
Signs	0286106	227965690
Logan	3315342	226231072
WALL·E	0910970	223806889
Big Hero 6	2245084	222487711
X2	0290334	214948780
Wonder Woman	0451279	212609246
Back to the Future	0088763	210609762
Dawn of the Planet of the Apes	2103281	208543795
Thor: The Dark World	1981115	206360018
Terminator 2: Judgment Day	0103064	204843350
The Amazing Spider-Man 2	1872181	202853933
World War Z	0816711	202351611
Armageddon	0120591	201573391
