100 Bloody Acres	2290065	0	0	2013-08-01
100 Feet	0899128	0	10000000	2008-07-24
100 Tears	0943946	0	75000	2007-06-23
12/12/12	2313780	0	0	2012-12-04
13/13/13	2991516	0	0	2013-10-01
13 Sins	2059171	9134	4000000	2014-04-11
1408	0450385	71985628	25000000	2007-06-22
22	0312306	0	11000	2001-07-22
28 Days Later	0289043	45064915	8000000	2003-06-27
28 Weeks Later	0463854	64238440	15000000	2007-05-11
31	3835080	779820	1500000	2016-09-16
30 Days of Night	0389722	80276156	32000000	2007-10-19
5ive Girls	0494199	0	3000000	2006-10-10
6 Souls	1179069	0	22000000	2013-03-01
976-EVIL	0094597	0	0	1989-03-24
976-EVIL 2: The Astral Factor	0101256	0	0	1992-08
The ABCs of Death	1935896	0	0	2013-04-26
ABCs of Death 2	2926810	0	0	2014-10-02
Abominable	0402743	0	0	2006-04-10
The Abominable Dr. Phibes	0066740	0	0	1971-05-18
Dr. Phibes Rises Again	0068503	0	0	1972-07
The Abominable Snowman	0050095	0	0	1957-10
Absentia	1610996	0	70000	2013-04-11
After Death	1822203	0	0	2014-01-21
Aftermath	4581576	0	10500000	2017-04-07
Aftershock	1780762	40179	2000000	2014-06-12
Alien	0078748	83944003	11000000	1979-06-22
Alien (1979)	0078748	83944003	11000000	1979-06-22
Aliens	0090605	85160248	18500000	1986-07-18
Alien³	0103644	55473600	50000000	1992-05-22
Alien: Resurrection	0118583	161382889	75000000	1997-11-26
Alien Abduction (2014)	2510434	0	0	2014-05-01
Alien Abduction: Incident in Lake County	0142074	0	0	1998-01-20
Alien vs. Predator	0370263	172544654	60000000	2004-08-13
Aliens vs. Predator: Requiem	0758730	128884494	40000000	2007-12-25
Alice, Sweet Alice	0076150	0	340000	1976-11-13
All Cheerleaders Die	2527186	0	0	2014-05-08
All Hallows' Eve	2900624	0	0	2013-10-29
All Superheroes Must Die	1836212	0	20000	2013-01-04
All the Boys Love Mandy Lane	0490076	0	750000	2013-09-06
Alligator	0080354	0	1500000	1980-07-02
The Alligator People	0052549	0	0	1959-07-16
Alone in the Dark (1982)	0083542	0	0	1982-11-12
Alone in the Dark (2005)	0369226	5178569	20000000	2005-01-28
The Alphabet Killer	0818165	106596	2000000	2009-12-10
Altered States	0080360	0	0	1980-12-25
Altitude	4556370	0	0	2017-04-14
The Amazing Colossal Man	0050118	0	0	1958-03-10
Amber Alert	6698648	0	0	2017-05-21
An American Crime	0802948	0	2000000	2007-12-07
An American Haunting	0429573	16298046	14000000	2006-05-05
American Mary	1959332	0	0	2013-01-11
American Psycho	0144084	15070285	7000000	2000-04-14
American Psycho 2: All American Girl	0283877	0	10000000	2002-06-10
An American Werewolf in London	0082010	60565292	10000000	1981-08-21
An American Werewolf in Paris	0118604	26570463	22000000	1997-12-25
The Amityville Horror (1979)	0078767	86432520	4700000	1979-07-27
Amityville II: The Possession	0083550	12534817	5000000	1982-09-24
Amityville 3-D	0085159	6333135	6000000	1983-11-18
Amityville: The Evil Escapes	0096808	0	0	1989-05-12
The Amityville Curse	0099030	0	0	1990-05-07
Amityville: It's About Time	0103678	0	0	1992-07-16
Amityville: A New Generation	0106262	0	1500000	1993-09-29
Amityville Dollhouse	0115535	0	0	1997-02-18
The Amityville Horror (2005)	0384806	65233369	19000000	2005-04-15
Amsterdamned	0094651	0	0	1988-11-25
Amusement	0476958	0	6000000	2008-10-09
Anaconda	0118615	65885767	45000000	1997-04-11
Anacondas: The Hunt for the Blood Orchid	0366174	32238923	25000000	2004-08-27
And Soon The Darkness	1391034	0	0	2011-02-11
Angel Heart	0092563	17185632	17000000	1987-03-06
Absurd	0084028	0	0	1981-10
Antichrist	0870984	397070	11000000	2009-05-20
Apollo 18	1772240	17686929	5000000	2011-09-02
The Apparition	1433822	4930798	17000000	2012-08-24
April Fools' Day	0047358	0	0	1954-07-28
Arachnia	0370295	0	0	2003-08-05
