"100 Bloody Acres"	"2290065"
"100 Feet"	"0899128"
"100 Tears"	"0943946"
"12/12/12"	"2313780"
"13/13/13"	"2991516"
"13 Sins"	"2059171"
"1408"	"0450385"
"22"	"0312306"
"28 Days Later"	"0289043"
"28 Weeks Later"	"0463854"
"31"	"3835080"
"30 Days of Night"	"0389722"
"5ive Girls"	"0494199"
"6 Souls"	"1179069"
"976-EVIL"	"0094597"
"976-EVIL 2: The Astral Factor"	"0101256"
"The ABCs of Death"	"1935896"
"ABCs of Death 2"	"2926810"
"Abominable"	"0402743"
"The Abominable Dr. Phibes"	"0066740"
"Dr. Phibes Rises Again"	"0068503"
"The Abominable Snowman"	"0050095"
"Absentia"	"1610996"
"After Death"	"1822203"
"Aftermath"	"4581576"
"Aftershock"	"1780762"
"Alien"	"0078748"
"Alien (1979)"	"0078748"
"Aliens"	"0090605"
"Alien³"	"0103644"
"Alien: Resurrection"	"0118583"
"Alien Abduction (2014)"	"2510434"
"Alien Abduction: Incident in Lake County"	"0142074"
"Alien vs. Predator"	"0370263"
"Aliens vs. Predator: Requiem"	"0758730"
"Alice, Sweet Alice"	"0076150"
"All Cheerleaders Die"	"2527186"
"All Hallows' Eve"	"2900624"
"All Superheroes Must Die"	"1836212"
"All the Boys Love Mandy Lane"	"0490076"
"Alligator"	"0080354"
"The Alligator People"	"0052549"
"Alone in the Dark (1982)"	"0083542"
"Alone in the Dark (2005)"	"0369226"
"The Alphabet Killer"	"0818165"
"Altered States"	"0080360"
"Altitude"	"4556370"
"The Amazing Colossal Man"	"0050118"
"Amber Alert"	"6698648"
"An American Crime"	"0802948"
"An American Haunting"	"0429573"
"American Mary"	"1959332"
"American Psycho"	"0144084"
"American Psycho 2: All American Girl"	"0283877"
"An American Werewolf in London"	"0082010"
"An American Werewolf in Paris"	"0118604"
"The Amityville Horror (1979)"	"0078767"
"Amityville II: The Possession"	"0083550"
"Amityville 3-D"	"0085159"
"Amityville: The Evil Escapes"	"0096808"
"The Amityville Curse"	"0099030"
"Amityville: It's About Time"	"0103678"
"Amityville: A New Generation"	"0106262"
"Amityville Dollhouse"	"0115535"
"The Amityville Horror (2005)"	"0384806"
"Amsterdamned"	"0094651"
"Amusement"	"0476958"
"Anaconda"	"0118615"
"Anacondas: The Hunt for the Blood Orchid"	"0366174"
"And Soon The Darkness"	"1391034"
"Angel Heart"	"0092563"
"Absurd"	"0084028"
"Antichrist"	"0870984"
"Apollo 18"	"1772240"
"The Apparition"	"1433822"
"April Fools' Day"	"0047358"
"Arachnia"	"0370295"
"Arachnophobia"	"0099052"
"Arcade"	"0106302"
"As Above, So Below"	"2870612"
"Asylum: Blackout"	"1027820"
"Attack of the Crab Monsters"	"0050147"
"Attack of the Eye Creatures"	"0059161"
"Attack of the Giant Leeches"	"0053611"
"Audition"	"0235198"
"Autopsy"	"0443435"
"The Autopsy Of Jane Doe"	"3289956"
"Ava's Possessions"	"3727982"
"The Awakening"	"1687901"
"Ax 'Em"	"0349113"
"Axe!"	"0075710"
"Axeman"	"2357866"
"The Babadook"	"2321549"
"The Baby"	"0069754"
"Bad Moon"	"0115610"
"Bad Taste"	"0092610"
"Bait 3D"	"1438173"
"Banshee Chapter"	"2011276"
"The Barrens"	"2050633"
"Basket Case"	"0083624"
"Baskin"	"4935418"
"The Bay"	"1713476"
"The Beast from 20,000 Fathoms"	"0045546"
"The Beast Must Die"	"0071200"
"Beast of the Yellow Night"	"0066816"
"The Beast of Yucca Flats"	"0054673"
"Beginning of the End"	"0050177"
"Behind the Mask: The Rise of Leslie Vernon"	"0437857"
"The Bell Witch Haunting"	"2991532"
"Bereavement"	"1100051"
"The Bermuda Depths"	"0077223"
"The Beyond"	"0082307"
"Big Ass Spider"	"1830713"
"Big Bad Wolf"	"0488962"
"Big Bad Wolves"	"2309224"
"The Bird with the Crystal Plumage"	"0065143"
"Birdemic"	"1316037"
"The Birds"	"0056869"
"The Black Cat"	"0024894"
"Black Christmas (1974)"	"0071222"
"Black Christmas (2006)"	"0454082"
"Black Forest"	"1776088"
"Blade"	"0120611"
"Blade"	"0120611"
"Blade II"	"0187738"
"Blade: Trinity"	"0359013"
"Black Sabbath"	"0057603"
"The Black Scorpion"	"0050197"
"Black Sunday"	"0054067"
"Black Water"	"5622412"
"Blacula"	"0068284"
"The Blair Witch Project"	"0185937"
"Book of Shadows: Blair Witch 2"	"0229260"
"Blair Witch"	"1540011"
"Bless the Child"	"0163983"
"The Blob (1958)"	"0051418"
"Beware! The Blob"	"0068271"
"The Blob (1988)"	"0094761"
"Blood and Black Lace"	"0058567"
"Blood & Donuts"	"0112527"
"Blood Cult"	"0136735"
"Blood Feast"	"4847546"
"Blood for Dracula"	"0071233"
"Blood Lake: Attack of the Killer Lampreys"	"3723790"
"Blood Night: The Legend of Mary Hatchet"	"1161404"
"Blood Punch"	"2825230"
"Blood Rage"	"0085253"
"Blood Rites"	"2004175"
"Blood: The Last Vampire"	"0806027"
"Bloodlust"	"0074920"
"Bloodsuckers from Outer Space"	"0086980"
"Bloodsucking Freaks"	"0077247"
"Bloodsucking Pharaohs in Pittsburgh"	"0101483"
"Bloodwine"	"1212018"
"Bloody Birthday"	"0082084"
"Bloody Homecoming"	"2040295"
"Bloody Moon"	"0083156"
"Blue Sunshine"	"0074226"
"Body Bags"	"0106449"
"Body Melt"	"0106450"
"The Body Snatcher"	"0037549"
"Bones (2001)"	"0166110"
"Bonnie and Clyde vs. Dracula"	"1117379"
"The Boogey Man"	"0080464"
"Borderland"	"0452592"
"The Boy"	"3882082"
"The Brain from Planet Arous"	"0050210"
"The Brain That Wouldn't Die"	"0052646"
"Braindead"	"4877736"
"Brainscan"	"0109327"
"Bram Stoker's Dracula"	"0103874"
"Breathing Room"	"1220706"
"Bride of the Monster"	"0047898"
"The Broken"	"0906734"
"The Brood"	"0078908"
"Brotherhood of the Wolf"	"0237534"
"Bruiser"	"0212830"
"The Brute Man"	"0038387"
"Bubba Ho Tep"	"0281686"
"A Bucket of Blood"	"0052655"
"Bug!"	"0913365"
"Burial Ground: The Nights of Terror"	"0081248"
"The Burning"	"0082118"
"The Burning Moon"	"0103898"
"Burnt Offerings"	"0074258"
"The Burrowers"	"0445939"
"The Bye Bye Man"	"4030600"
"Cabin by the Lake"	"0199389"
"Cabin Fever"	"0303816"
"The Cabin in the Woods"	"1259521"
"The Cabinet of Dr. Caligari"	"0010323"
"Campfire Tales (1991)"	"0101538"
"Campfire Tales (1997)"	"0115813"
"Candyman"	"0103919"
"Cannibal Ferox"	"0082700"
"Cannibal Holocaust"	"0078935"
